,103N,108N,111N,115N,117N,120N,123N,125N,129N,132N,136N,139N,140N,101N,107N,110N,116N,119N,128N,131N,114N,135N,106N,122N,124N,130N,138N,109N,118N,127N,134N,137N,113N,121N,104N,133N,112N,126N
116900_1..N02R::1404360000.0,-50,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,
117400_1..N02R::1404360000.0,-26,18,,,,,,,,,,,,63,-10,,,,,,,,8,,,,,,,,,,,,6,,,
117900_1..N09R::1404360000.0,,23,0,,,,,,,,,,,,19,-4,,,,,,,,,,,,0,,,,,,,,,,
118400_1..N02R::1404360000.0,17,13,7,13,,,,,,,,,,44,11,-1,,,,,6,,4,,,,,-6,,,,,9,,-1,,13,
118900_1..N02R::1404360000.0,-20,13,-7,7,25,,,,,,,,,54,13,-9,2,,,,0,,28,,,,,-6,,,,,2,,18,,21,
119400_1..N02R::1404360000.0,9,-8,13,10,-3,52,,,,,,,,48,2,-12,-9,1,,,11,,-2,,,,,-5,11,,,,16,,3,,4,
119900_1..N02R::1404360000.0,22,-23,2,1,10,19,42,,,,,,,63,6,-2,-5,-4,,,2,,-4,17,,,,22,2,,,,1,1,-4,,7,
120350_1..N02R::1404360000.0,3,-12,8,8,11,-5,5,-7,,,,,,58,-16,-4,1,13,,,-13,,4,5,1,,,-36,-8,,,,-10,-13,-3,,3,
120800_1..N02R::1404360000.0,-12,11,23,10,10,21,26,29,3,,,,,61,12,14,-38,-6,10,,8,,33,-7,14,,,15,-3,56,,,3,-4,21,,-10,12
121300_1..N02R::1404360000.0,-8,1,4,-1,18,40,12,3,-5,23,,,,22,0,4,6,-5,15,3,19,,19,2,8,-18,,11,-27,91,,,-10,9,17,,4,11
121800_1..N02R::1404360000.0,20,-8,13,0,-4,1,0,25,0,-2,-9,,,57,-10,-14,13,-4,-14,10,-23,-10,11,1,-5,-14,,-6,6,15,0,,17,0,17,12,2,0
122300_1..N02R::1404360000.0,4,20,12,6,-2,3,25,25,6,-2,4,10,,46,13,3,12,-21,-3,-11,-2,-10,-3,-2,-7,-8,-35,-33,12,143,6,-27,1,4,18,-14,16,4
122800_1..N02R::1404360000.0,62,14,12,10,8,26,14,8,3,24,-6,5,-19,67,-12,-14,-2,12,-4,-15,14,-11,12,14,9,-23,-33,-8,-8,27,1,90,17,20,-2,11,5,15
123300_1..N09R::1404360000.0,,6,16,15,22,-1,46,-3,20,17,19,11,-19,,43,10,5,11,1,-3,-34,7,,3,-8,19,-13,12,15,15,5,-17,-2,1,,8,13,12
123800_1..N02R::1404360000.0,59,-16,9,-3,6,11,16,-5,-7,9,-8,7,-19,45,-37,-19,-27,2,18,-36,9,-13,5,-10,2,-8,-29,535,-11,79,-19,101,16,9,-11,-4,2,1
124300_1..N02R::1404360000.0,,,,,,,10,5,5,18,-9,5,11,,,,,,-4,-6,,-18,,953,1,-20,-35,,,58,-4,82,,,,6,,13
124800_1..N02R::1404360000.0,25,24,-6,-1,-1,18,861,20,-9,28,-9,10,11,49,7,18,5,-3,5,1,-5,-51,14,236,3,16,-11,13,26,24,-7,16,-28,6,4,-1,9,2
125300_1..N09R::1404360000.0,,-6,5,-5,10,20,41,821,-13,22,-7,0,-19,,43,-4,-5,6,-20,-1,-2,-17,,47,1054,6,-11,18,2,34,1,80,11,-6,,10,7,17
125800_1..N02R::1404360000.0,175,12,19,17,10,18,184,5,-8,-5,9,-2,-19,47,11,-3,1,-7,-20,12,14,4,19,26,10,17,-19,-10,3,60,11,-24,10,6,25,16,27,1695
116400_1..N02R::1404360000.0,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,
126300_1..N02R::1404360000.0,33,12,-5,-35,29,3,1,-1,23,-14,-16,-7,11,25,9,-13,26,-13,1739,5,-3,-50,-6,-9,2,19,-21,9,-8,25,-4,-13,4,13,15,5,-6,14
126800_1..N02R::1404360000.0,33,9,10,-5,20,30,10,-2,1492,-3,-19,7,11,86,8,-1,28,-5,63,17,-6,3,25,-1,-2,9,-30,-3,7,41,-11,-37,-11,24,333,-5,3,6
127300_1..N02R::1404360000.0,,,,37,8,11,19,-3,22,18,6,1,-19,,,,-3,-4,32,7,,-8,,-14,3,1295,-37,,0,41,0,-19,,20,,7,,2
127800_1..N02R::1404360000.0,80,-16,-14,20,15,292,4,-2,17,13,-13,-14,-19,51,-11,-17,5,15,38,1097,-28,20,15,3,-1,12,-21,-15,-3,26,-4,71,-35,9,25,10,16,1
128300_1..N02R::1404360000.0,187,1,26,7,-6,27,375,21,46,5,-63,14,161,53,-5,14,208,8,19,-8,0,9,-4,6,24,21,-17,-12,11,30,38,727,9,-1,270,-7,-9,1
128800_1..N02R::1404360000.0,,,,,,,,,,,,-126,1181,,,,,,,,,,,,,,,,,,,,,,,,,
129300_1..N02R::1404360000.0,,,,,,,,,,,,,941,,,,,,,,,,,,,,,,,,,,,,,,,
129800_1..N02R::1404360000.0,,,,,,,,,,,,,641,,,,,,,,,,,,,,,,,,,,,,,,,
130300_1..N02R::1404360000.0,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,
130800_1..N02R::1404360000.0,-48,8,12,-28,17,2,19,12,7,13,-9,331,11,66,-68,-15,1,11,-10,-7,2,8,11,23,29,-1,-21,-16,7,43,-12,-15,-9,8,11,-4,-25,3
131300_1..N02R::1404360000.0,140,5,10,16,-31,22,13,4,14,20,-2,-12,-49,66,8,10,9,4,-1,1,-15,-2,-6,57,6,-23,-9,12,12,12,6,-17,-14,-2,205,14,-24,12
131800_1..N02R::1404360000.0,145,0,19,20,9,180,7,8,23,14,-8,14,41,54,-4,17,20,6,30,-11,13,10,5,83,7,17,-11,10,6,48,10,-12,9,6,1,11,20,1
132300_1..N02R::1404360000.0,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,
129550_1..N02R::1404360000.0,11,-6,-12,,,,,,,,,,,48,-13,20,,,,,-49,,-3,,,,,10,,,,,40,,22,,-9,
132800_1..N02R::1404360000.0,48,-16,21,-15,-26,16,-25,17,3,-3,2,-15,-19,51,4,-15,-7,7,-8,12,-10,0,-8,-6,-12,-11,-27,-11,-13,16,10,62,-4,14,165,-12,-10,-4
130550_1..N02R::1404360000.0,-61,12,5,,,,,,,,,,,62,-7,-17,,,,,-229,,11,,,,,-6,,,,,-10,,-9,,-9,
133400_1..N02R::1404360000.0,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,
131050_1..N02R::1404360000.0,,,,,,-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134000_1..N02R::1404360000.0,-3,-8,19,11,4,26,33,-28,19,25,-13,-9,11,16,-8,8,9,19,1,13,1,12,13,23,1,14,-19,5,-1,27,17,10,20,2,-24,16,25,26
131050_1..N::1404360000.0,,,,,,-79,0,34,4,24,115,30,47,,,,,,18,19,,1,,8,1,14,-14,,,35,8,-61,,25,,-3,,9
131450_1..N02R::1404360000.0,-45,-7,-1,-19,,,,,,,,,,66,-3,-2,,,,,2,,13,,,,,5,,,,,9,,17,,-2,
134600_1..N02R::1404360000.0,77,-5,-3,11,11,16,16,4,21,39,4,0,11,64,-3,-16,-6,11,-25,-24,14,5,11,12,14,10,-10,4,20,9,8,25,17,-15,14,-1,18,-17
131000_1..N02R::1404360000.0,11,0,3,20,8,,,,,,,,,55,-10,-11,-11,-3,,,13,,-6,,,,,-14,5,,,,10,,-7,,-4,
135200_1..N02R::1404360000.0,235,1,-15,-6,0,-2,6,0,-14,-4,-12,-11,11,46,-18,-8,-5,-7,8,-12,-2,-50,2,6,5,2,-21,-76,8,76,-2,8,11,-9,12,11,-31,2
135800_1..N02R::1404360000.0,521,-7,8,11,-3,-2,11,-10,-2,7,-1,-8,11,46,-6,-17,-7,-8,-8,-2,-14,0,15,11,1,-18,-54,-5,8,15,-18,11,0,-8,216,-3,-48,-6
136400_1..N02R::1404360000.0,98,10,-36,9,-11,18,5,10,-8,-4,-10,-17,11,74,-11,-1,-1,0,16,-13,-1,-12,15,51,-8,-14,-30,12,5,66,0,2,0,-14,620,12,-8,-7
137100_1..N02R::1404360000.0,53,1,12,9,16,5,1,19,7,20,-5,1,-19,,6,13,2,14,-6,3,9,14,615,6,-64,9,-6,13,11,28,21,25,-3,10,0,51,12,7
137900_1..N02R::1404360000.0,,-6,-5,19,6,8,9,-3,13,-17,-17,-13,-19,,-8,17,13,16,-24,-7,-5,2,-3,34,3,-18,-23,11,-7,73,-12,8,22,37,23,0,-7,-72
135500_1..N02R::1404360000.0,154,-24,-6,7,8,16,-4,8,-12,-10,63,-17,11,51,-15,-2,1,10,14,-12,13,-33,8,0,-17,1,-26,4,-7,84,-15,12,-61,11,15,1,11,15
138900_1..N02R::1404360000.0,,,-2,2,14,33,18,15,13,14,-6,13,11,,,-10,30,3,-3,-3,22,-12,,77,17,3,-27,-85,6,18,-6,26,25,31,,-80,2,-29
139900_1..N02R::1404360000.0,,,,15,-16,29,50,18,-6,-61,-5,4,-79,,,,7,-9,8,-15,-59,-8,,47,-12,-9,-33,,0,29,1,11,,6,,-19,,1
140900_1..N02R::1404360000.0,,,,,,22,-1,-10,-4,9,0,1,-49,,,,,-61,20,0,,1,,9,-6,-21,-26,,,17,11,16,,-11,,-8,,-8
141900_1..N02R::1404360000.0,,,,,,,,-107,8,10,-9,0,11,,,,,,-7,-9,,-13,,,,-1,-23,,,24,-4,19,,,,-1,,1
142900_1..N02R::1404360000.0,,,,,,,,,,-35,-16,-11,-19,,,,,,,,,10,,,,,-19,,,,14,7,,,,-9,,
143900_1..N02R::1404360000.0,,,,,,,,,,,,-110,-19,,,,,,,,,,,,,,,,,,,,,,,,,
144900_1..N02R::1404360000.0,,,,,,,,,,,,,-559,,,,,,,,,,,,,,,,,,,,,,,,,
145900_1..N02R::1404360000.0,,,,,,,,,,,,,-1159,,,,,,,,,,,,,,,,,,,,,,,,,
147200_1..N02R::1404360000.0,,,,,,,,,,,,,-1939,,,,,,,,,,,,,,,,,,,,,,,,,
