,204N,205N,208N,213N,216N,220N,225N,120N,132N,229N,234N,236N,239N,247N,215N,242N,227N,228N,233N,214N,212N,224N,246N,207N,219N,241N,232N,201N,137N,245N,211N,128N,238N,218N,222N,206N,231N,244N,226N,235N,210N,237N,217N,243N,127N,230N,209N,221N,123N,423N,420N,419N,418N,640N,635N,631N,629N,626N,621N,136N,135N,134N,133N,131N,130N,129N,126N,125N,124N,122N,121N,257N,256N,255N,254N,253N,252N,251N,250N,249N,248N
111800_2..N01R::1404360000.0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112450_2..N01R::1404360000.0,31,5,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113200_2..N01R::1404360000.0,33,2,28,,,,,,,,,,,,,,,,,,,,,32,,,,68,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114050_2..N01R::1404360000.0,26,-2,0,32,,,,,,,,,,,,,,,,,2,,,19,,,,29,,,15,,,,,-4,,,,,-9,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114950_2..N01R::1404360000.0,30,-14,-4,27,16,,,,,,,,,,15,,,,,7,16,,,-3,,,,32,,,14,,,,,27,,,,,8,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115850_2..N01R::1404360000.0,-3,4,9,51,7,9,,,,,,,,,22,,,,,2,-10,,,-9,16,,,60,,,4,,,25,,1,,,,,8,,33,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116450_2..N01R::1404360000.0,35,21,3,63,-22,20,1,,,,,,,,11,,,,,39,1,23,,18,7,,,60,,,13,,,5,42,24,,,,,12,,13,,,,10,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117450_2..N01R::1404360000.0,13,-6,17,18,20,4,14,13,,,,,,,-4,,5,,,9,3,-1,,-8,-12,,,65,,,15,,,-6,13,-2,,,16,,16,,10,,,,-10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118250_2..N01R::1404360000.0,39,-8,-7,46,10,-10,-20,18,5,,,,,,21,,13,,,16,5,18,,13,11,,,59,,,-8,37,,17,16,23,,,20,,-3,,5,,39,,-4,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119100_2..N01R::1404360000.0,37,44,-1,31,22,7,7,12,12,13,,,,,30,,32,9,,-6,19,22,,13,-1,,,50,-1,,27,9,,4,2,16,,,10,,19,,16,,37,,11,11,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119900_2..N01R::1404360000.0,44,1,1,37,12,-4,25,1,10,11,42,,,,36,,16,5,20,10,-5,11,,9,-7,,22,54,27,,3,35,,3,26,8,11,,13,,10,,8,,24,8,-20,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
