,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
259,1404433481,116400_2..S01R,20140703,132S,1404433460,1404433460,2,1404360000.0,116400_2..S01R::1404360000.0,False,True
266,1404433481,119400_2..S01R,20140703,219S,1404433479,1404433479,2,1404360000.0,119400_2..S01R::1404360000.0,False,True
271,1404433481,121400_2..S01R,20140703,210S,1404433472,1404433472,2,1404360000.0,121400_2..S01R::1404360000.0,False,True
458,1404433511,113400_2..S01R,20140703,246S,1404433496,1404433496,2,1404360000.0,113400_2..S01R::1404360000.0,False,True
460,1404433511,114200_2..S01R,20140703,235S,1404433500,1404433500,2,1404360000.0,114200_2..S01R::1404360000.0,False,True
474,1404433511,120400_2..S01R,20140703,215S,1404433511,1404433511,2,1404360000.0,120400_2..S01R::1404360000.0,False,False
661,1404433541,112600_2..S01R,20140703,247S,1404433493,1404433493,2,1404360000.0,112600_2..S01R::1404360000.0,False,True
667,1404433541,115000_2..S01R,20140703,234S,1404433515,1404433515,2,1404360000.0,115000_2..S01R::1404360000.0,False,True
886,1404433571,121400_2..S01R,20140703,211S,1404433569,1404433569,2,1404360000.0,121400_2..S01R::1404360000.0,False,True
1073,1404433601,114200_2..S01R,20140703,236S,1404433597,1404433597,2,1404360000.0,114200_2..S01R::1404360000.0,False,True
1076,1404433601,115800_2..S01R,20140703,231S,1404433590,1404433590,2,1404360000.0,115800_2..S01R::1404360000.0,False,True
1085,1404433601,119400_2..S01R,20140703,220S,1404433579,1404433579,2,1404360000.0,119400_2..S01R::1404360000.0,False,True
1278,1404433631,115000_2..S01R,20140703,235S,1404433614,1404433614,2,1404360000.0,115000_2..S01R::1404360000.0,False,True
1283,1404433631,117400_2..S01R,20140703,127S,1404433615,1404433615,2,1404360000.0,117400_2..S01R::1404360000.0,False,True
1290,1404433631,120400_2..S01R,20140703,216S,1404433616,1404433616,2,1404360000.0,120400_2..S01R::1404360000.0,False,True
1474,1404433661,113400_2..S01R,20140703,247S,1404433623,1404433623,2,1404360000.0,113400_2..S01R::1404360000.0,False,True
1486,1404433661,118400_2..S01R,20140703,120S,1404433639,1404433639,2,1404360000.0,118400_2..S01R::1404360000.0,False,True
1673,1404433691,114200_2..S01R,20140703,237S,1404433696,1404433696,2,1404360000.0,114200_2..S01R::1404360000.0,False,False
