,247S,246S,235S,234S,231S,132S,127S,120S,219S,215S,210S,201S,137S,220S,211S,236S,216S,212S,237S,232S,221S,128S,217S,123S,238S,233S,213S,228S,222S,218S,239S,229S,214S,204S,224S,241S,230S,205S,206S,207S,242S,225S,208S,243S,226S,209S,244S,227S,245S,621S,626S,629S,631S,635S,640S,418S,420S,121S,122S,124S,125S,126S,129S,130S,131S,133S,134S,135S,136S,419S,423S,248S,249S,250S,251S,252S,253S,254S,255S,256S,257S
112600_2..S01R::1404360000.0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113400_2..S01R::1404360000.0,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114200_2..S01R::1404360000.0,28,2,11,,,,,,,,,,,,,4,,,-5,,,,,,16,,,,,,25,,,,,23,,,,,6,,,-3,,,14,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115000_2..S01R::1404360000.0,45,8,17,26,,,,,,,,,,,,4,,,-7,,,,,,15,,,,,,20,,,,,-6,,,,,-10,,,12,,,-3,,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115800_2..S01R::1404360000.0,59,9,19,76,11,,,,,,,,,,,6,,,5,15,,,,,11,-6,,,,,6,,,,,4,,,,,13,,,-11,,,-7,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116400_2..S01R::1404360000.0,40,-4,-6,10,3,21,,,,,,,11,,,8,,,-11,10,,,,,19,-9,,7,,,30,16,,,,19,6,,,,-3,,,-1,,,26,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117400_2..S01R::1404360000.0,37,-2,2,21,11,46,16,,,,,,13,,,8,,,22,6,,25,,,13,6,,8,,,26,26,,,,13,11,,,,14,,,12,,,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118400_2..S01R::1404360000.0,53,13,15,123,11,21,34,22,,,,,-9,,,3,,,0,-10,,11,,15,2,-7,,1,,,-2,21,,,,12,-17,,,,-12,,,-4,,,-62,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119400_2..S01R::1404360000.0,32,11,24,30,11,18,40,32,2,,,,33,22,,16,,,1,3,23,36,,21,16,-8,,22,5,,31,12,,,19,27,37,,,,22,2,,15,1,,-39,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120400_2..S01R::1404360000.0,48,3,7,15,3,19,10,22,8,0,,,28,7,,8,15,,46,-3,-5,26,14,-3,26,13,,20,29,-2,7,-13,,,7,14,13,,,,14,-36,,-15,1,,-53,52,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
