,224N,227N,123N,128N,232N,235N,239N,250N,255N,257N,226N,238N,254N,302N,225N,120N,231N,249N,253N,127N,237N,301N,230N,234N,248N,252N,236N,233N,251N,229N,256N,228N,137N,132N
115800_3..N01R::1404360000.0,34,,,,,,,,,,,,,10,,,,,,,,56,,,,,,,,,,,,
116600_3..N01R::1404360000.0,23,23,,,,,,,,,7,,,-13,11,,,,,,,66,,,,,,,,,,,,
117300_3..N01R::1404360000.0,-30,-2,22,,,,,,,,17,,,154,11,-8,,,,,,73,,,,,,,,,,,,
118200_3..N01R::1404360000.0,18,13,14,24,,,,,,,-5,,,312,-7,30,,,,32,,77,,,,,,,,,,,,
119000_3..N01R::1404360000.0,25,38,0,11,-3,,,,,,7,,,-9,1,14,21,,,22,,42,5,,,,,,,13,,28,8,24
119800_3..N01R::1404360000.0,36,32,18,21,35,192,,,,,16,,,14,-23,1,7,,,27,,77,11,15,,,,-9,,41,,8,19,12
120600_3..N01R::1404360000.0,11,20,0,17,14,27,23,,,,34,15,,6,9,6,12,,,12,20,74,2,12,,,12,16,,32,,31,13,18
121450_3..N01R::1404360000.0,11,95,-7,18,10,-5,11,-6,,,23,2,,299,-8,12,-33,-12,,13,-2,52,32,18,-13,,0,-18,,-6,,26,-13,9
122200_3..N01R::1404360000.0,,,330,22,16,17,35,13,11,,,-5,-3,,,,1,6,9,38,16,,29,32,3,19,2,16,0,13,,27,38,20
123200_3..N01R::1404360000.0,,,,49,-3,14,13,0,2,11,,7,2,,,,9,-8,-14,1169,11,,18,-37,-2,-2,3,21,-12,12,10,16,-29,22
123800_3..N01R::1404360000.0,,,,213,5,-7,13,-24,-32,131,,4,-9,,,,-22,-8,6,,4,,-18,4,-5,17,2,-7,5,28,8,-6,0,24
124600_3..N01R::1404360000.0,28,15,93,391,-64,1,35,13,-3,-19,4,-9,-7,-1,9,16,-1,11,13,117,2,70,13,6,-13,-7,3,20,9,0,12,13,13,0
125600_3..N01R::1404360000.0,,,,,,106,15,93,-17,-49,,-24,8,,,,,0,-4,,7,,,761,3,6,8,,-7,,-38,,,
126600_3..N01R::1404360000.0,,,,,,431,18,19,-2,41,,2,15,,,,,11,-6,,21,,,-42,13,5,9,,17,,8,,,
127600_3..N01R::1404360000.0,,,,,,521,26,31,-14,11,,-8,2,,,,,-2,11,,39,,,541,-8,-11,17,,-1,,1,,,
128600_3..N01R::1404360000.0,6,28,11,40,-2,12,22,43,-1,-19,160,9,15,-19,15,22,-7,-24,-4,41,30,76,28,8,-9,3,-2,-9,16,35,15,-4,20,1
129600_3..N01R::1404360000.0,24,-15,21,66,-3,13,51,56,1,-19,44,-12,-26,75,7,13,5,-10,4,10,35,56,7,2,-2,-95,-13,-17,19,21,11,-4,-6,204
130650_3..N01R::1404360000.0,33,1,-6,1,2,27,19,2,-2,41,14,11,-13,260,2,7,7,14,1,25,35,83,2,27,12,5,24,-10,-9,19,12,13,13,1
131650_3..N01R::1404360000.0,-33,-4,6,5,26,1,3,1,1,-19,13,-8,15,189,-1,32,-7,13,-5,24,6,45,24,10,-14,5,22,-5,-8,-17,9,15,18,1
132650_3..N01R::1404360000.0,26,20,3,20,3,17,21,26,2,11,6,-11,-8,-67,5,8,14,4,4,10,12,5,-23,-2,-17,-12,-7,-10,9,-7,22,2,27,13
133650_3..N01R::1404360000.0,22,16,11,-4,30,-4,7,71,6,-19,-5,3,5,-218,-1,9,12,3,-6,12,1,33,-2,5,4,11,-27,45,4,15,-17,19,14,-2
134600_3..N01R::1404360000.0,14,21,2,-9,2,0,16,8,-7,41,5,-17,-9,-265,1,23,6,-2,7,4,-28,52,19,6,4,-92,5,-8,2,7,14,-7,0,-10
135600_3..N01R::1404360000.0,5,7,12,18,17,59,25,6,-41,11,-4,-9,15,-278,393,24,-11,6,-2,-1,-1,63,20,17,8,14,3,11,0,8,-2,17,23,14
136750_3..N01R::1404360000.0,4,-5,8,2,7,87,-2,54,12,-19,15,0,5,-280,17,8,-11,22,-13,1,-16,64,3,23,-18,2,-1,-7,-6,-36,-9,-9,-2,-38
