,255S,249S,239S,232S,229S,128S,123S,224S,301S,248S,256S,233S,250S,132S,127S,225S,257S,234S,230S,251S,226S,231S,137S,235S,227S,252S,120S,236S,237S,253S,302S,228S,254S,238S
116100_3..S01R::1404360000.0,5,,,,,,,,,,-14,,,,,,69,,,,,,,,,,,,,,,,,
116900_3..S01R::1404360000.0,4,16,,,,,,,,,16,,5,,,,68,,,-8,,,,,,-8,,,,-3,,,-2,
117700_3..S01R::1404360000.0,11,0,6,,,,,,,2,43,,-7,,,,68,,,-4,,,,,,7,,,,-15,,,21,
118500_3..S01R::1404360000.0,29,2,3,-2,,,,,,8,5,4,24,,,,59,16,,23,,,,18,,-12,,-2,17,12,,,-1,16
119200_3..S01R::1404360000.0,28,-3,13,-2,13,,,,,2,63,8,17,,,,48,-3,5,3,,-7,,36,,5,,7,-5,7,,,5,23
120100_3..S01R::1404360000.0,146,-14,6,14,16,20,,,,27,26,19,9,1,,,26,26,-2,16,,12,30,-12,,11,,-9,17,12,,18,22,-14
121000_3..S01R::1404360000.0,-2,-10,5,12,47,-5,-4,,,16,13,9,20,-1,33,,51,19,7,-10,,11,38,4,,-26,,-11,8,-18,,14,-9,1
122000_3..S01R::1404360000.0,0,-7,15,12,27,23,-3,14,,-36,20,20,15,-93,2,6,37,33,-1,15,9,12,-21,10,7,25,17,-15,9,-11,,6,-3,4
123000_3..S01R::1404360000.0,6,-1,27,-24,50,15,5,-4,41,1,-4,20,-8,22,14,-9,46,8,5,-4,14,10,22,27,8,-4,20,0,64,-33,134,21,0,0
124000_3..S01R::1404360000.0,11,-20,13,11,25,1,9,-9,-19,7,9,13,53,-8,10,-7,63,0,-9,-28,-37,-11,4,12,-3,-15,11,22,28,-5,6,4,10,20
125000_3..S01R::1404360000.0,14,-13,9,-12,27,6,0,4,11,23,5,0,11,-17,16,-37,44,20,9,20,0,10,36,30,-1,-8,2,5,-2,-2,-3,42,9,11
117300_3..S01R::1404360000.0,24,7,,,,,,,,7,20,,4,,,,44,,,15,,,,,,-5,,,,-1,,,15,
126000_3..S01R::1404360000.0,11,8,0,3,3,-3,-8,-9,11,12,241,-11,10,14,7,-12,60,11,25,-13,-5,-36,-2,24,-8,9,13,1,-2,-9,-10,0,1,17
127200_3..S01R::1404360000.0,1,-59,-19,1,39,23,21,-9,-19,20,20,5,9,11,40,77,64,23,8,7,14,-2,44,24,1445,13,23,5,0,-11,6,24,-6,-1
128400_3..S01R::1404360000.0,,,,,,,,,731,,,,,,,,,,,,,,,,,,,,,,,,,
129600_3..S01R::1404360000.0,7,16,-2,,,,,,-169,23,-1,,10,,,,57,,,14,,,,131,,-12,,-11,17,-3,,,-2,4
130800_3..S01R::1404360000.0,-11,-7,29,18,10,16,54,5,131,-7,8,10,14,18,32,4,67,20,16,14,11,-3,-6,-1,3,-12,-2,2,5,-4,-11,31,9,34
132050_3..S01R::1404360000.0,,,,,,,,,-529,,,,,,,,,,,,,,,,,,,,,,,,,
129800_3..S01R::1404360000.0,13,-7,25,13,0,-1,,,,0,-3,15,33,22,,,62,-60,17,8,,11,31,-12,,11,,14,2,8,,8,9,-11
133350_3..S01R::1404360000.0,-8,-28,2,-9,2,-1,3,-10,11,9,19,2,16,15,-31,-13,45,16,-15,-15,-3,9,2,9,-6,-4,83,0,-11,6,-14,2,-34,12
130600_3..S01R::1404360000.0,23,2,16,,,,,,,7,410,,16,,,,58,,,4,,,,41,,11,,10,1,17,,,17,35
131000_3..S01R::1404360000.0,-6,15,14,10,12,19,,,,7,-10,-5,8,-3,,,62,22,355,0,,1,-3,26,,-11,,11,1,3,,4,12,-8
134650_3..S01R::1404360000.0,,,,,,,,,-949,,,,,,,,,,,,,,,,,,,,,,,,,
131900_3..S01R::1404360000.0,19,-9,62,,,,,,,-7,63,,-20,,,,57,,,3,,,,36,,11,,6,-9,14,,,13,-13
135850_3..S01R::1404360000.0,13,8,24,11,-7,-2,-3,-14,-79,6,-6,-12,1,9,-5,13,53,117,36,-13,10,3,17,26,7,-9,63,-7,-20,-2,1,11,5,33
137050_3..S01R::1404360000.0,,,,,,,,,-829,,,,,,,,,,,,,,,,,,,,,,,,,
138250_3..S01R::1404360000.0,,14,10,17,0,-21,-149,32,-19,16,,-3,-63,-20,143,-9,,16,16,,-8,16,13,26,10,,-6,-5,19,,-13,1,,15
140250_3..S42R::1404360000.0,,,,,,,-241,5,-49,,,,,,40,-2,,,,,-35,,,,-41,,90,,,,-15,,,
142650_3..S42R::1404360000.0,,,,,,,-441,12,11,,,,,,,8,,,,,-16,,,,14,,74,,,,-6,,,
000300_3..S42R::1404360000.0,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,
