,timestamp,trip_id,start_date,stop,arrive,depart,line,tref,long_id,hold,late
102,1404433451,116250_4..N06R,20140703,406N,1404433443,1404433443,4,1404360000.0,116250_4..N06R::1404360000.0,False,True
111,1404433451,119350_4..N06R,20140703,420N,1404433411,1404433411,4,1404360000.0,119350_4..N06R::1404360000.0,False,True
113,1404433451,120150_4..N06R,20140703,423N,1404433429,1404433429,4,1404360000.0,120150_4..N06R::1404360000.0,False,True
312,1404433481,117050_4..N,20140703,413N,1404433475,1404433475,4,1404360000.0,117050_4..N::1404360000.0,False,True
525,1404433511,119350_4..N06R,20140703,419N,1404433507,1404433507,4,1404360000.0,119350_4..N06R::1404360000.0,False,True
729,1404433541,118850_4..N06R,20140703,640N,1404433507,1404433507,4,1404360000.0,118850_4..N06R::1404360000.0,False,True
751,1404433541,119700_4..N06R,20140703,420N,1404433539,1404433539,4,1404360000.0,119700_4..N06R::1404360000.0,False,True
924,1404433571,115850_4..N06R,20140703,401N,1404433505,1404433505,4,1404360000.0,115850_4..N06R::1404360000.0,False,True
925,1404433571,116250_4..N06R,20140703,405N,1404433564,1404433564,4,1404360000.0,116250_4..N06R::1404360000.0,False,True
929,1404433571,117750_4..N06R,20140703,621N,1404433529,1404433529,4,1404360000.0,117750_4..N06R::1404360000.0,False,True
942,1404433571,122350_4..N06R,20140703,239N,1404433558,1404433558,4,1404360000.0,122350_4..N06R::1404360000.0,False,True
1343,1404433631,120950_4..N06R,20140703,235N,1404433596,1404433596,4,1404360000.0,120950_4..N06R::1404360000.0,False,True
1538,1404433661,119350_4..N06R,20140703,418N,1404433605,1404433605,4,1404360000.0,119350_4..N06R::1404360000.0,False,True
1559,1404433661,119700_4..N06R,20140703,419N,1404433640,1404433640,4,1404360000.0,119700_4..N06R::1404360000.0,False,True
1726,1404433691,116250_4..N06R,20140703,402N,1404433668,1404433668,4,1404360000.0,116250_4..N06R::1404360000.0,False,True
1731,1404433691,118250_4..N06R,20140703,621N,1404433681,1404433681,4,1404360000.0,118250_4..N06R::1404360000.0,False,True
1753,1404433691,118550_4..N,20140703,631N,1404433653,1404433653,4,1404360000.0,118550_4..N::1404360000.0,False,True
1928,1404433721,117750_4..N06R,20140703,416N,1404433726,1404433726,4,1404360000.0,117750_4..N06R::1404360000.0,False,False
1935,1404433721,120150_4..N06R,20140703,420N,1404433717,1404433717,4,1404360000.0,120150_4..N06R::1404360000.0,False,True
