,401N,406N,413N,621N,640N,420N,423N,235N,239N,250N,631N,405N,419N,409N,418N,635N,402N,416N,234N,629N,415N,408N,414N,407N,626N,412N,411N,410N,257N,256N,255N,254N,253N,252N,251N,249N,248N,238N,237N,236N,639N,638N,637N,636N,634N,633N,632N,630N,628N,627N,625N,624N,623N,622N
115850_4..N06R::1404360000.0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116250_4..N06R::1404360000.0,71,8,,,,,,,,,,7,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117050_4..N::1404360000.0,58,13,6,,,,,,,,,13,,4,,,18,,,,,22,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117750_4..N06R::1404360000.0,62,13,6,42,,,,,,,,-6,,15,,,11,-5,,,50,8,37,19,,1,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,
118250_4..N06R::1404360000.0,57,11,24,10,,,,,,,,-16,,21,,,22,25,,,29,8,22,7,,21,18,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
118850_4..N06R::1404360000.0,56,25,1,13,34,,,,,,199,-17,,15,,37,17,5,,13,13,21,40,13,9,26,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,
119350_4..N06R::1404360000.0,44,20,15,44,28,40,,,,,159,11,4,-21,56,26,15,33,,-26,28,0,27,4,26,6,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,
120150_4..N06R::1404360000.0,68,-5,11,29,24,4,22,,,,10,57,-6,14,23,29,-7,9,,-13,33,-1,-12,-2,18,-23,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,
120950_4..N06R::1404360000.0,57,13,7,10,-2,25,4,35,,,-4,3,6,22,29,51,31,5,25,3,17,5,5,14,-77,10,18,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
121550_4..N06R::1404360000.0,65,8,-2,0,26,14,10,10,,,36,26,4,2,-10,3,-9,-2,5,15,29,20,3,5,13,-3,-2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_4..N06R::1404360000.0,60,-8,14,9,25,17,33,15,13,,25,51,3,-8,18,10,26,11,19,-6,1,-9,6,0,19,-8,3,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
123100_4..N06R::1404360000.0,36,-2,-8,19,4,20,-4,2,-7,-19,1,24,0,-1,-27,13,27,4,35,-10,4,6,5,-7,20,7,-3,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
123700_4..N06R::1404360000.0,59,143,0,22,-35,3,-9,68,-3,-19,26,56,-9,11,14,-5,24,5,-11,8,-5,10,19,-7,-36,4,-11,8,,,,,,,,,,,,,,,,,,,,,,,,,,
124450_4..N06R::1404360000.0,54,38,-5,24,22,9,5,21,36,-19,-8,48,23,-8,27,8,1,1,3,20,24,-38,45,9,17,-3,10,-39,,,,,,,,,,,,,,,,,,,,,,,,,,
125150_4..N06R::1404360000.0,48,2,24,40,-8,1,17,88,17,-19,41,11,13,18,27,19,24,24,16,16,41,13,18,25,11,16,18,31,,,,,,,,,,,,,,,,,,,,,,,,,,
125650_4..N06R::1404360000.0,50,-5,179,21,12,-7,-5,69,19,-79,23,3,-13,17,-25,34,-16,24,20,16,-24,17,0,-1,12,18,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,
118550_4..N::1404360000.0,,,71,52,,,,,,,38,,,,,,,9,,28,7,,19,,9,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118550_4..N06R::1404360000.0,,,,,,,,,,4091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119700_4..N06R::1404360000.0,46,10,-12,22,20,2,,,,,36,23,21,14,32,31,22,2,,15,12,3,35,9,21,11,18,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
126600_4..N06R::1404360000.0,61,-8,-3,0,6,10,10,35,4,-19,120,22,-1,17,24,20,16,168,0,-1,10,-13,20,1,-5,7,-9,10,,,,,,,,,,,,,,,,,,,,,,,,,,
127450_4..N06R::1404360000.0,52,-5,-7,30,11,10,1,21,-6,-49,23,3,-10,0,8,-19,23,17,1,18,2,23,16,-1,21,0,14,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
128400_4..N06R::1404360000.0,50,8,-7,32,19,4,-21,102,5,-79,55,10,-38,4,14,13,-2,1,11,14,-15,3,10,13,10,0,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
129400_4..N06R::1404360000.0,42,-4,-1,24,20,18,28,136,0,-109,36,5,36,-7,20,23,22,24,18,1,3,-9,24,-1,21,2,12,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
130400_4..N06R::1404360000.0,52,-14,18,12,32,6,3,29,10,11,24,26,-1,19,14,11,12,15,-5,6,22,9,6,-11,29,-61,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,
131400_4..N06R::1404360000.0,51,-13,-22,-3,7,6,19,2,12,101,26,0,-1,0,26,11,-5,17,17,0,-24,4,-7,-10,36,-13,4,-4,,,,,,,,,,,,,,,,,,,,,,,,,,
130950_4..N06R::1404360000.0,39,13,-3,32,36,9,14,0,22,-49,38,-7,17,7,27,21,13,7,9,7,-36,3,15,14,27,6,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,
132400_4..N06R::1404360000.0,48,19,-6,21,19,27,21,9,-9,-19,16,1,-11,15,16,-3,21,7,20,25,33,12,37,-7,17,1,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,
133400_4..N06R::1404360000.0,52,1,-3,23,-32,13,2,17,7,161,13,12,-10,-95,14,38,1,22,-1,10,16,-6,27,3,8,3,10,-3,,,,,,,,,,,,,,,,,,,,,,,,,,
134400_4..N06R::1404360000.0,51,15,-16,14,4,6,1,26,3,64,20,17,18,-193,7,8,2,9,5,15,-4,10,2,20,6,15,-2,-14,,,,,,,,,,,,,,,,,,,,,,,,,,
135400_4..N06R::1404360000.0,38,2,-1,-2,15,17,24,11,-33,76,27,13,-11,-335,13,21,5,-33,14,22,28,-10,20,7,-12,11,-3,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
136400_4..N06R::1404360000.0,59,-10,20,0,-24,42,24,22,17,11,-24,-1,8,-455,25,-17,17,248,1,43,23,-11,22,-2,-1,-7,6,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
137450_4..N06R::1404360000.0,,,2,14,14,13,152,20,6,77,24,,4,,-3,28,,18,0,8,30,,29,,31,-1,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,
138400_4..N06R::1404360000.0,,,,25,24,55,20,29,21,-19,12,,9,,22,19,,24,24,13,31,,-97,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139400_4..N06R::1404360000.0,,,,15,-2,-6,-3,5,10,-19,10,,12,,8,2,,-21,20,14,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140700_4..N02R::1404360000.0,,,,,,39,8,-1,14,9,,,,,,,,,12,,,,,,,,,,11,-13,-30,-6,-1,5,14,-7,22,,,,,,,,,,,,,,,,,
140700_4..N06R::1404360000.0,,,,,33,15,7,25,31,-19,-71,,-10,,17,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142000_4..N02R::1404360000.0,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,281,-1,19,5,20,-12,-4,2,-23,,,,,,,,,,,,,,,,,
143500_4..N01R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,,,,,,,,,,,,,
144400_4..N01R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,
146100_4..N01R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1279,,,,,,,,,,,,,,,,,,,,,,,,,
144400_4..N01R::1404446400.0,65,0,-2,10,14,23,14,56,18,91,22,5,-12,-576,7,22,-2,-33,36,11,18,-6,14,7,44,11,-1,-12,-49,-36,-14,15,-33,7,-5,-6,-1,17,0,5,,,,,,,,,,,,,,
146100_4..N01R::1404446400.0,45,10,14,-1,14,-5,20,10,29,19,66,15,-29,-561,6,15,-5,25,21,9,3,4,8,13,4,14,22,9,11,14,-9,8,6,22,-5,19,6,17,8,0,,,,,,,,,,,,,,
137450_4..N06R::1404446400.0,43,19,,,,,,,,,,-9,,-561,,,29,,,,,-1,,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138400_4..N06R::1404446400.0,43,-5,17,,,,,,,,,5,,-589,,,18,,,,,0,5,5,,-6,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,
139400_4..N06R::1404446400.0,45,5,-6,,,,,,,,,17,,-569,,,5,9,,,21,-7,-19,3,,-2,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,
140700_4..N02R::1404446400.0,68,16,4,38,21,38,,,,,12,22,10,-551,26,12,9,31,,-22,8,17,24,-5,2,8,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,
140700_4..N06R::1404446400.0,59,9,10,5,,,,,,,30,18,,-558,,,1,21,,3,36,5,6,11,26,14,-7,10,,,,,,,,,,,,,,,,,,,,,,,,,,
142000_4..N02R::1404446400.0,62,-2,9,32,9,34,4,-14,-6,,38,15,9,-548,0,19,-23,22,-38,10,11,-13,-2,-30,22,19,0,-47,,,,,,,,,37,,,,,,,,,,,,,,,,,
143500_4..N01R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,
001000_4..N01R::1404446400.0,40,3,-2,10,16,3,7,59,22,7,-36,12,9,-586,-8,-5,5,-4,-8,-6,-4,-13,22,2,-2,8,-7,11,11,6,-8,-11,5,-14,-26,3,5,-5,3,8,,,,,,,,,,,,,,
147850_4..N01R::1404446400.0,35,14,-11,-4,16,31,33,11,1,-3,11,-1,10,-564,3,-5,-9,10,-17,10,0,3,5,11,14,-37,12,-35,11,13,2,1,-14,-3,-11,10,-16,9,-28,-11,,,,,,,,,,,,,,
148800_4..N13R::1404446400.0,52,13,16,36,159,4,23,19,-16,20,64,-3,-8,-568,15,21,-9,16,17,2,9,4,2,16,16,-7,7,-3,-19,12,-7,18,-1,-1,-17,8,25,14,-30,-3,14,-6,18,5,-4,-10,-13,8,7,-13,-9,-5,-18,4
150800_4..N13R::1404446400.0,37,16,10,-3,15,2,23,4,34,80,-18,0,-37,-570,-10,29,-7,12,29,-15,36,1,-11,-15,41,-9,7,-5,-19,-78,12,11,-3,7,-1,41,53,19,12,-11,3,-11,14,17,11,6,5,-16,0,12,12,-14,4,-8
152800_4..N13R::1404446400.0,62,-5,-2,97,-33,6,7,-2,9,2,34,11,-13,-594,-17,-13,-27,-6,-5,36,22,7,20,-8,-6,-16,3,-3,131,7,-5,-7,9,18,13,-13,-9,8,-5,6,-76,2,-2,6,-14,-18,11,37,-14,-5,-2,-4,-16,3
010850_4..N13R::1404446400.0,66,-15,12,22,29,11,4,7,14,4,16,-2,-4,-7,16,16,18,39,1,28,12,18,95,-2,6,-10,5,-43,-19,17,2,-3,8,13,-3,-3,15,11,17,-11,-6,6,-2,7,-7,-15,12,29,7,12,-25,1,15,-1
012850_4..N13R::1404446400.0,70,-2,2,15,-4,33,28,32,26,5,18,2,-1,15,20,18,14,1,151,-11,73,1,25,7,-6,6,14,19,-19,6,16,-1,7,11,17,-6,12,8,4,16,10,-10,14,19,-14,7,-2,-19,2,7,-2,-5,5,11
014850_4..N13R::1404446400.0,62,-38,8,24,4,14,21,34,11,-5,10,11,-2,7,17,-16,5,7,23,21,-4,6,-10,-9,10,-8,10,1,-19,6,-8,12,-6,3,-11,-11,131,3,4,1,-76,2,-3,3,-16,11,-23,16,8,14,15,19,-4,-10
016850_4..N13R::1404446400.0,49,22,-17,-59,1,-1,2,0,34,14,10,1,-10,-35,16,28,-6,9,16,13,4,4,1,-38,3,-6,10,-2,-19,18,2,-4,7,-16,4,13,126,-2,8,27,5,-9,20,21,5,1,1,31,-5,5,6,12,-1,17
018850_4..N13R::1404446400.0,56,8,-13,-4,8,5,0,16,31,23,18,-3,-5,-15,-7,2,20,5,10,35,6,-10,9,5,-6,1,-11,10,41,-12,6,3,-13,-34,14,11,152,-5,-3,24,0,-13,14,21,-116,7,4,13,-15,-58,0,-9,6,-3
020850_4..N13R::1404446400.0,67,12,3,4,-15,9,-7,14,7,10,23,-2,7,-10,-76,-16,-5,-11,-26,20,19,-7,16,11,8,4,-8,14,-19,-15,6,1,-17,-3,10,-1,163,0,6,0,13,-37,-46,-31,-12,11,7,23,-1,10,12,-13,3,25
022850_4..N13R::1404446400.0,63,-14,2,9,16,17,-9,-20,17,23,28,16,-3,24,7,21,-4,5,20,3,18,15,-4,-5,-11,3,13,-4,101,21,4,16,-9,-4,5,8,25,9,3,-29,11,-15,12,18,16,4,26,63,22,-6,19,11,7,-13
024850_4..N13R::1404446400.0,46,11,11,11,21,22,-3,43,7,16,37,-3,12,-5,6,37,18,-7,23,9,11,-4,-21,7,15,13,-3,-44,-49,-14,6,-24,-7,-6,13,3,4,-3,7,-8,-4,9,5,5,-18,11,2,-38,4,-13,-15,12,-3,-21
026850_4..N13R::1404446400.0,113,1,4,33,4,12,4,19,5,19,14,9,-23,8,1,20,-3,-2,8,-2,23,-31,20,7,-1,7,18,6,-19,6,18,5,-15,-4,14,14,5,7,13,5,-3,-22,4,7,-8,-18,6,0,-1,4,-3,35,-2,16
028850_4..N13R::1404446400.0,60,9,6,1,-3,6,-5,4,26,4,17,-6,-29,-56,18,27,-82,7,9,-10,-6,-7,-10,6,-3,11,-5,-13,-19,-6,12,5,-12,-1,13,-2,13,19,14,-14,2,-15,-19,-12,1,-6,-8,16,-10,0,-29,-4,13,1
030850_4..N13R::1404446400.0,47,4,3,8,14,-1,3,25,32,8,4,-14,-6,-54,19,28,9,-23,2,-2,3,-8,-34,6,3,13,-36,-12,-19,11,-8,-13,-28,11,-5,-6,-51,0,6,9,-6,9,4,14,2,-6,-7,0,-1,7,5,8,-9,9
032850_4..N13R::1404446400.0,45,-9,11,8,10,-2,11,8,19,80,32,9,-9,-24,18,21,5,0,20,1,-2,2,-7,-39,0,-11,6,-1,-19,-5,-13,13,-3,7,3,3,5,-7,4,-16,-7,11,9,19,-2,-6,-46,-3,-2,2,1,6,-10,4
034450_4..N01R::1404446400.0,68,21,5,10,18,98,24,19,22,10,1,2,-8,-8,10,19,15,-10,-2,-4,10,18,26,-6,18,10,-68,38,-19,-3,9,1,9,16,4,-7,18,9,14,-23,,,,,,,,,,,,,,
036050_4..N01R::1404446400.0,41,12,0,21,9,-4,8,6,33,53,13,-1,-8,-8,18,-1,-6,-7,-6,16,15,-7,11,9,10,14,0,-13,11,15,2,4,-10,-27,2,3,-69,-5,12,-34,,,,,,,,,,,,,,
037750_4..N03R::1404446400.0,51,16,2,15,32,-19,21,25,19,10,21,3,0,15,-13,23,-41,11,-93,5,25,12,20,-7,-3,8,-8,12,-19,19,-3,-11,-2,-28,9,,,,,,,,,,,,,,,,,,,
040450_4..N06R::1404446400.0,68,0,1,61,24,8,20,7,5,-79,29,14,-10,15,12,11,5,2,10,12,61,16,-9,-2,12,6,-8,13,,,,,,,,,,,,,,,,,,,,,,,,,,
041650_4..N06R::1404446400.0,66,16,9,-18,-1,-9,13,8,5,-19,38,-3,14,-4,8,12,13,18,-4,10,-28,-1,-8,14,18,-12,4,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
042650_4..N06R::1404446400.0,50,18,1,-2,6,6,6,10,4,71,8,5,1,-3,22,3,0,-6,-9,12,52,4,11,18,16,13,0,-9,,,,,,,,,,,,,,,,,,,,,,,,,,
043650_4..N06R::1404446400.0,49,0,-17,10,-5,15,3,6,51,-19,13,-12,20,12,10,18,15,30,10,-2,6,-14,9,0,28,-3,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,
044450_4..N06R::1404446400.0,58,6,-6,7,-4,12,1,-35,-11,11,66,-6,6,-6,5,-9,-51,24,12,-13,10,-3,3,7,20,6,-6,-12,,,,,,,,,,,,,,,,,,,,,,,,,,
045200_4..N06R::1404446400.0,52,10,-6,-6,6,19,18,-3,33,-19,84,-3,0,-11,24,16,-8,10,7,-1,36,-6,8,-21,2,4,-8,12,,,,,,,,,,,,,,,,,,,,,,,,,,
046000_4..N06R::1404446400.0,64,5,6,96,2,15,15,-3,-9,11,108,-4,-20,10,10,17,-4,-4,51,-5,21,10,-11,-4,0,-14,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
046800_4..N06R::1404446400.0,60,4,-2,11,4,26,-3,12,11,-19,7,16,2,-6,-6,2,8,17,19,15,12,-8,17,3,-23,-1,5,-7,,,,,,,,,,,,,,,,,,,,,,,,,,
047600_4..N06R::1404446400.0,60,4,1,18,-21,4,16,-6,6,-19,112,-6,-8,19,-11,17,-12,-8,10,-29,79,-13,17,2,-9,192,-8,13,,,,,,,,,,,,,,,,,,,,,,,,,,
048400_4..N06R::1404446400.0,52,-32,12,14,21,-7,21,42,14,11,35,2,21,18,31,24,13,37,13,0,35,4,16,9,17,7,11,22,,,,,,,,,,,,,,,,,,,,,,,,,,
049200_4..N06R::1404446400.0,58,4,-11,-5,5,5,-31,-36,-48,-19,121,-11,0,-15,16,23,-14,9,-85,3,3,-13,172,2,-4,1,-11,-20,,,,,,,,,,,,,,,,,,,,,,,,,,
050000_4..N06R::1404446400.0,37,6,7,-5,24,8,18,8,-37,-19,58,-8,2,-56,-6,14,-12,32,14,4,12,-10,150,5,2,12,-35,-10,,,,,,,,,,,,,,,,,,,,,,,,,,
050800_4..N06R::1404446400.0,46,12,15,10,17,1,12,37,12,11,89,-5,-3,6,19,3,15,21,4,-8,0,6,-2,14,18,-9,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,
051600_4..N06R::1404446400.0,67,14,4,28,18,7,16,26,8,-19,85,-3,20,12,7,46,18,8,-92,2,25,11,5,20,19,8,-4,12,,,,,,,,,,,,,,,,,,,,,,,,,,
052400_4..N06R::1404446400.0,,,,-2,27,19,16,9,13,11,152,,9,,20,33,,,16,14,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053200_4..N06R::1404446400.0,53,-5,1,20,-9,1,13,7,0,-19,18,5,-9,11,15,10,15,3,-3,3,16,13,20,-4,2,5,-11,9,,,,,,,,,,,,,,,,,,,,,,,,,,
054000_4..N06R::1404446400.0,45,-20,-4,17,24,4,0,12,-8,11,38,18,-2,-1,19,18,7,20,53,27,6,-3,10,9,15,4,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,
