,420S,250S,239S,640S,635S,626S,415S,413S,407S,402S,401S,629S,405S,423S,414S,408S,416S,406S,409S,418S,631S,621S,410S,234S,419S,411S,412S,235S,236S,237S,238S,248S,249S,251S,252S,253S,254S,257S,255S,256S,622S,623S,624S,625S,627S,628S,630S,632S,633S,634S,636S,637S,638S,639S
103950_4..S06R::1404360000.0,20139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115600_4..S06R::1404360000.0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116400_4..S06R::1404360000.0,,21,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117200_4..S06R::1404360000.0,8,10,24,,,,,,,,,,,14,,,,,,,,,,40,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
118000_4..S06R::1404360000.0,30,11,16,15,,,,,,,,,,7,,,,,,23,,,,12,5,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
118700_4..S06R::1404360000.0,0,9,19,24,37,,,,,,,,,16,,,,,,5,,,,22,23,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
119500_4..S06R::1404360000.0,2,18,25,4,30,7,,,,,,-5,,6,,,,,,8,72,,,18,23,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
120300_4..S06R::1404360000.0,21,-45,13,13,-14,-8,106,,,,,-9,,7,,,9,,,9,-4,38,,39,19,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
120900_4..S06R::1404360000.0,14,6,13,13,14,-9,2,12,,,,1,,20,23,,12,,,34,19,1,,325,84,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
121700_4..S06R::1404360000.0,-10,8,4,23,34,19,17,15,4,,,6,,8,26,8,5,,9,19,12,78,10,66,27,20,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,
122350_4..S06R::1404360000.0,16,10,16,-5,41,4,36,31,15,-8,,12,4,17,96,-5,10,8,-9,25,46,14,-1,29,23,17,-1,5,,,,,,,,,,,,,,,,,,,,,,,,,,
123200_4..S06R::1404360000.0,31,287,19,17,45,18,16,23,-6,12,-19,27,17,17,6,6,14,19,-5,26,12,6,2,8,6,15,-5,31,,,,,,,,,,,,,,,,,,,,,,,,,,
124050_4..S30R::1404360000.0,13,7959,38,31,16,7,33,-26,13,18,11,22,-4,8,25,-2,-1,4,-43,30,41,51,-2,14,7,-14,-1,6,,,,,,,,,,,,,,,,,,,,,,,,,,
124900_4..S05R::1404360000.0,25,10,10,23,25,8,24,0,6,13,11,13,1,17,30,12,14,4,25,16,33,12,17,28,-24,12,5,22,11,37,14,10,14,,,,,,,,,,,,,,,,,,,,,
125750_4..S05R::1404360000.0,2,8,-16,50,26,4,61,4,15,12,11,23,10,9,6,17,3,13,2,35,30,16,2,27,8,7,-20,21,13,-1,18,16,3,,,,,,,,,,,,,,,,,,,,,
126850_4..S05R::1404360000.0,27,11,31,6,37,-22,53,12,23,20,-19,2,-3,-1,63,0,7,14,23,20,44,10,-9,30,25,6,12,23,10,-2,-6,0,-4,,,,,,,,,,,,,,,,,,,,,
127750_4..S05R::1404360000.0,5,-51,17,5,33,-2,8,13,1,6,131,-2,14,23,-26,14,14,-7,8,11,46,-26,-12,30,0,5,16,54,6,1,4,3,4,,,,,,,,,,,,,,,,,,,,,
128750_4..S05R::1404360000.0,31,-8,14,24,46,28,61,8,19,25,221,14,5,13,15,-13,24,18,21,31,13,27,24,8,8,0,6,32,11,-3,21,-2,13,,,,,,,,,,,,,,,,,,,,,
129750_4..S05R::1404360000.0,6,,,1,13,-10,11,7,-5,19,251,-4,-2,-4,2,11,9,-15,9,18,18,5,-10,20,10,11,-3,-14,312,,,215,,,,,,,,,,,,,,,,,,,,,,
130850_4..S10R::1404360000.0,-6,,34,17,26,9,-3,-4,-16,-6,-49,14,-4,17,69,1,1,11,14,24,1,15,10,38,21,-5,3,43,4,-6,29,,,,,,,,,,,,,,,,,,,,,,,
131600_4..S05R::1404360000.0,,,,,,,,,,,-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132700_4..S05R::1404360000.0,24,-88,22,7,10,0,0,3,14,-3,11,-17,14,24,56,-2,15,6,16,21,37,16,-6,30,12,14,-2,24,12,3,3,8,7,,,,,,,,,,,,,,,,,,,,,
133700_4..S01R::1404360000.0,0,-2,10,3,18,9,-8,25,16,16,41,4,-4,-116,10,0,10,17,14,3,30,66,-63,38,23,9,-10,31,-2,-77,-3,18,-15,8,11,14,-38,,,,,,,,,,,,,,,,,
134750_4..S01R::1404360000.0,-9,-209,17,26,22,22,27,13,,-9,71,8,141,28,27,-17,18,68,-6,15,35,19,-8,20,22,4,13,24,23,7,20,7,22,,,,,,,,,,,,,,,,,,,,,
131600_4..S::1404360000.0,1,18,11,-2,31,0,27,4,15,9,-19,-5,4,17,22,-3,-8,14,11,6,15,13,12,26,-6,-6,-26,84,1,-3,-2,-2,0,,,,,,,,,,,,,,,,,,,,,
135950_4..S01R::1404360000.0,25,-78,12,7,-34,-4,30,14,0,4,11,-1,14,-13,8,10,0,-9,4,11,7,-4,8,22,-71,16,22,36,-10,15,9,2,14,1,8,13,16,,,,,,,,,,,,,,,,,
137200_4..S01R::1404360000.0,8,-90,38,-5,18,13,8,-7,-1,0,-19,-26,-8,16,111,-10,2,-17,-7,-10,1,5,8,39,-13,-6,-19,33,-6,-6,0,-7,-2,-146,,,,,,,,,,,,,,,,,,,,
138400_4..S01R::1404360000.0,5,,,-4,5,-2,-23,-33,-6,7,221,-15,-1,16,-2,-12,-3,14,-4,19,22,-22,-76,6,-16,2,-9,33,,,,,,,,,,,,,,,,,,,,,,,,,,
139600_4..S01R::1404360000.0,,,,12,34,19,10,2,16,-18,-19,-11,-8,,24,1,16,7,-8,-38,43,-11,0,,,-13,-33,,,,,,,,,,,,,,,,,,,,,,,,,,,
140800_4..S01R::1404360000.0,,,,,,24,23,-3,14,18,11,-96,-6,,17,-1,14,5,13,,,23,-9,,,10,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
130850_4..S::1404360000.0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,,,,,,,,,,,,,,,,,,,,,
142550_4..S01R::1404360000.0,,,,,,,,-60,12,12,-19,,-7,,,-3,,6,19,,,,-11,,,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
000400_4..S01R::1404360000.0,,,,,,,,,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133700_4..S::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,66,,,,,,,,,,,,,,,,
001400_4..S13R::1404360000.0,,,,,,,,,,,-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134750_4..S::1404360000.0,,791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,-65,13,19,,,,,,,,,,,,,,
134750_4..S::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,
000400_4..S01R::1404446400.0,25,20,19,30,33,-6,12,17,17,17,-259,-5,-3,3,1,-10,13,10,11,3,15,4,-13,-61,17,5,15,19,12,4,3,16,39,-12,-4,567,1,45,6,19,,,,,,,,,,,,,,
001400_4..S13R::1404446400.0,5,8,13,24,42,14,16,7,-37,1,-859,7,10,18,-2,12,12,-10,0,3,17,72,6,-47,8,-7,4,40,3,25,12,15,30,9,7,-16,14,52,13,-1,4,15,-4,-5,10,4,31,1,-4,-12,-21,15,-35,-9
103950_4..S06R::1404446400.0,34539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124050_4..S30R::1404446400.0,,22359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135950_4..S01R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,-9,5,,,,,,,,,,,,,,
137200_4..S01R::1404446400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-3,11,-5,34,5,-34,,,,,,,,,,,,,,
