,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
118900_5..N::1404360000.0,18,75,10,26,14,,,,,,,,22,22,,,35,19,,10,,7,23,1191,,,,2,,23,5,6,4,-2,,,,27,,21,,,42,,41,,18,40,51,11,29,,,,,,,,,,,,,,,,,,,
112950_5..N74R::1404360000.0,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113750_5..N71R::1404360000.0,,63,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114750_5..N71R::1404360000.0,,61,8,41,,,,,,,,,16,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115700_5..N71R::1404360000.0,,105,24,46,3,,,,,,,,233,26,,,59,2,,,,27,6,,,,,12,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116750_5..N71R::1404360000.0,,47,53,34,8,22,,,,,,,464,40,,,10,19,,,,25,2,7,,,,10,,,12,12,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117850_5..N71R::1404360000.0,,3,5,25,-24,25,23,,,,,,11,2,-2,,72,13,22,,,19,-2,35,11,,,-15,,,273,1,,6,,,-9,,,,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119700_5..N71R::1404360000.0,,,,,,,,47,,,,,,,,,,,,,,,,,,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120950_5..N71R::1404360000.0,,56,-11,21,11,21,2,22,10,,,,-21,45,43,,35,21,-23,,,33,-1,48,50,41,,5,,,-5,17,,16,,,19,,3,,36,55,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
121800_5..N71R::1404360000.0,,,,,,,,,-62,2,,,,,,6,,,,,14,,,,,,-10,,90,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123100_5..N71R::1404360000.0,,,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105200_5..N68R::1404360000.0,,,,,,,,,,,,23261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114200_5..N71R::1404360000.0,,100,23,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115400_5..N71R::1404360000.0,,76,170,15,,,,,,,,,296,11,,,49,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117300_5..N76R::1404360000.0,,,,,,15,,,,,,,,,9,,63,,,,,,,18,50,,,,,,23,,,,,,14,,,,26,16,,,,,,,,,,1,13,16,14,8,-13,21,14,-2,,,,,,,,,,
123100_5..N::1404360000.0,,,,,14,16,7,4,23,7,11,,,-1,28,40,-7,19,11,,-8,,20,12,14,6,-5,24,-1,,-6,1,,13,5,11,18,,-34,,37,13,,,,17,,,,,,13,-3,2,0,-3,12,20,16,201,,,,,,,,,,
126450_5..N73R::1404360000.0,,60,27,12,-21,23,36,,,,,,16,23,22,,63,-19,29,,,32,19,26,20,,,10,,,18,25,,10,,,11,,-19,,31,24,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
119700_5..N::1404360000.0,,27,12,16,13,,,1241,,,,,24,15,,,47,9,,33,,-25,23,1131,,,,-4,,6,20,14,0,14,,,,27,,-3,,,27,,31,,12,27,17,17,20,,,,,,,,,,,,,,,,,,,
121800_5..N::1404360000.0,,72,18,15,24,,,18,221,,,,-6,16,,,-2,0,,,,12,30,171,,,,5,,,-10,32,,-3,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
127450_5..N73R::1404360000.0,,29,20,15,18,23,-2,,,,,,-1,24,14,,35,-29,10,,,10,14,42,39,,,15,,,1,20,,20,,,10,,35,,29,29,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
128450_5..N73R::1404360000.0,,62,2,26,-13,11,-6,,,,,,13,-3,16,,29,15,18,,,24,24,20,-7,,,10,,,18,16,,13,,,19,,10,,14,81,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
129450_5..N73R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130450_5..N73R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131450_5..N73R::1404360000.0,,45,20,37,12,4,25,,,,,,-3,-10,17,,43,16,-1,,,2,2,13,23,,,14,,,1,16,,9,,,-5,,-19,,-6,4,,,,23,,,,,,,,,,,,,,,,,,,,,,,,
132450_5..N73R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133450_5..N73R::1404360000.0,,59,30,18,1,16,11,,,,,,9,9,10,,45,9,24,,,16,24,36,24,,,4,,,-2,12,,-2,,,-16,,28,,10,16,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
134450_5..N73R::1404360000.0,,14,25,25,12,25,44,,,,,,11,4,11,,152,21,6,,,-21,5,21,30,,,-10,,,4,3,,9,,,-11,,25,,14,13,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
135450_5..N73R::1404360000.0,,64,24,15,4,27,7,,,,,,0,17,16,,24,11,21,,,12,22,7,24,,,5,,,25,11,,5,,,19,,41,,15,23,,,,22,,,,,,,,,,,,,,,,,,,,,,,,
136450_5..N73R::1404360000.0,,56,8,26,-7,19,16,,,,,,20,-15,4,,31,9,22,,,26,27,19,3,,,-16,,,-95,-2,,15,,,-11,,12,,4,15,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
137600_5..N73R::1404360000.0,,68,5,9,12,3,19,,,,,,20,19,0,,45,-3,-4,,,3,10,4,21,,,-8,,,12,-9,,10,,,17,,-19,,20,18,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
136600_5..N71R::1404360000.0,,,,,-9,27,10,2,-6,-13,71,,,,-1,-8,,7,-1,,0,,-3,8,34,-5,8,11,17,,16,-38,,20,13,16,10,,36,,6,14,,,,-31,,,,,,,,,,,,,,,,,,,,,,,,
138800_5..N73R::1404360000.0,,,,-38,16,-55,17,,,,,,,26,20,,39,-1,0,,,,13,9,29,,,-9,,,16,0,,17,,,4,,-19,,13,28,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32R::1404360000.0,,,,,,,,,,,,,,,,,-199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32R::1404360000.0,,,,,,,,,,,,,,,,,-1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32R::1404446400.0,,19,17,-20,,,,,,,,,20,,,,-199,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32R::1404446400.0,,64,27,14,,,,,,,,,3,,,,41,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138800_5..N73R::1404446400.0,,42,34,9,,,,,,,,,25,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105200_5..N68R::1404446400.0,,,,,,,,,,,,37661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136600_5..N71R::1404446400.0,,,,-144,,,,,,,,,,20,,,361,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004300_5..N32R::1404446400.0,,,,,,,,,,,,,,,,,-1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006000_5..N32R::1404446400.0,,,,,,,,,,,,,,,,,-949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004000_5..N32R::1404446400.0,,70,18,19,,,,,,,,,18,,,,101,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
