,231N,501N,502N,505N,219N,416N,418N,234N,235N,245N,247N,250N,503N,214N,635N,244N,213N,218N,640N,230N,243N,504N,217N,222N,631N,423N,242N,216N,241N,229N,221N,215N,228N,220N,239N,246N,629N,137N,420N,132N,626N,621N,128N,233N,127N,419N,123N,120N,227N,226N,225N,212N,211N,210N,209N,208N,207N,206N,205N,204N,257N,256N,255N,254N,253N,252N,251N,249N,248N,201N
118900_5..N::1404360000.0,1404433541,1404437891,1404437651,1404437291,1404436331,,,,,,,,1404437531,1404436871,,,1404437051,1404436421,,1404433751,,1404437381,1404436511,1404436001,,,,1404436601,,1404433841,1404436091,1404436721,1404433961,1404436211,,,,1404434081,,1404434321,,,1404434501,,1404434621,,1404434861,1404435101,1404435491,1404435551,1404435671,,,,,,,,,,,,,,,,,,,
112950_5..N74R::1404360000.0,,1404433631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113750_5..N71R::1404360000.0,,1404434261,1404433511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114750_5..N71R::1404360000.0,,1404435641,1404434321,1404433601,,,,,,,,,1404433811,,,,,,,,,1404433691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115700_5..N71R::1404360000.0,,1404436151,1404435761,1404434561,1404433511,,,,,,,,1404435011,1404434081,,,1404434261,1404433601,,,,1404434651,1404433691,,,,,1404433811,,,,1404433931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116750_5..N71R::1404360000.0,,1404436271,1404436031,1404434981,1404434081,1404433601,,,,,,,1404435731,1404434621,,,1404434741,1404434171,,,,1404435071,1404434231,1404433751,,,,1404434351,,,1404433871,1404434471,,1404433991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117850_5..N71R::1404360000.0,,1404437621,1404437441,1404437111,1404436151,1404435281,1404433511,,,,,,1404437321,1404436661,1404433901,,1404436871,1404436271,1404433661,,,1404437201,1404436331,1404435581,1404434321,,,1404436421,,,1404435941,1404436541,,1404436091,,,1404434501,,,,1404434711,1404435101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119700_5..N71R::1404360000.0,,,,,,,,1404433631,,,,,,,,,,,,,,,,,,1404433721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120950_5..N71R::1404360000.0,,1404438731,1404438251,1404437891,1404436901,1404436301,1404434651,1404434021,1404433901,,,,1404438101,1404437501,1404435071,,1404437651,1404436991,1404434741,,,1404438011,1404437051,1404436571,1404435341,1404434231,,1404437171,,,1404436661,1404437321,,1404436811,,,1404435491,,1404434501,,1404435701,1404436121,,,,1404434591,,,,,,,,,,,,,,,,,,,,,,,,
121800_5..N71R::1404360000.0,,,,,,,,,1404434171,1404433451,,,,,,1404433541,,,,,1404433631,,,,,,1404433691,,1404433871,,,,,,1404433991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123100_5..N71R::1404360000.0,,,,,,,,,,,1404433661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105200_5..N68R::1404360000.0,,,,,,,,,,,,1404446381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114200_5..N71R::1404360000.0,,1404435011,1404433721,,,,,,,,,,1404433481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115400_5..N71R::1404360000.0,,1404435821,1404435221,1404433811,,,,,,,,,1404434321,1404433451,,,1404433631,,,,,1404433901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117300_5..N76R::1404360000.0,,,,,,1404434801,,,,,,,,,1404433601,,1404435791,,,,,,,1404434951,1404433871,,,,,,1404435071,,,,,,1404434081,,,,1404434291,1404434621,,,,,,,,,,1404435911,1404436031,1404436151,1404436241,1404436331,1404436421,1404436541,1404436631,1404436691,,,,,,,,,,
123100_5..N::1404360000.0,,,,,1404437501,1404436961,1404435521,1404434951,1404434891,1404434081,1404433871,,,1404438101,1404435911,1404434201,1404438251,1404437591,1404435641,,1404434261,,1404437681,1404437141,1404436121,1404435101,1404434351,1404437831,1404434441,,1404437261,1404437951,,1404437411,1404434591,1404433991,1404436301,,1404435341,,1404436511,1404436781,,,,1404435461,,,,,,1404438461,1404438551,1404438671,1404438761,1404438851,1404438971,1404439061,1404439151,1404439421,,,,,,,,,,
126450_5..N73R::1404360000.0,,1404439571,1404439391,1404439001,1404438011,1404437501,1404436031,,,,,,1404439241,1404438611,1404436421,,1404438791,1404438101,1404436151,,,1404439121,1404438221,1404437711,1404436661,,,1404438341,,,1404437831,1404438491,,1404437951,,,1404436841,,1404435851,,1404437051,1404437321,,,,1404435941,,,,,,,,,,,,,,,,,,,,,,,,
119700_5..N::1404360000.0,,1404438251,1404438071,1404437711,1404436751,,,1404434111,,,,,1404437951,1404437321,,,1404437501,1404436841,,1404434201,,1404437771,1404436931,1404436421,,,,1404437021,,1404434261,1404436541,1404437171,1404434381,1404436661,,,,1404434501,,1404434711,,,1404434891,,1404435011,,1404435251,1404435491,1404435851,1404435941,1404436061,,,,,,,,,,,,,,,,,,,
121800_5..N::1404360000.0,,1404439241,1404438521,1404438161,1404437171,,,1404434321,1404434231,,,,1404438371,1404437831,,,1404437951,1404437261,,,,1404438251,1404437381,1404436841,,,,1404437501,,,1404436931,1404437681,,1404437051,,,,,,,,,,1404434501,,,,,,,,,,,,,,,,,,,,,,,,,,
127450_5..N73R::1404360000.0,,1404441161,1404440981,1404440621,1404439751,1404439211,1404437531,,,,,,1404440831,1404440261,1404437921,,1404440411,1404439781,1404437651,,,1404440711,1404439901,1404439421,1404438191,,,1404440021,,,1404439511,1404440141,,1404439661,,,1404438341,,1404437411,,1404438551,1404438851,,,,1404437471,,,,,,,,,,,,,,,,,,,,,,,,
128450_5..N73R::1404360000.0,,1404441431,1404441221,1404440891,1404439961,1404439421,1404437951,,,,,,1404441101,1404440501,1404438311,,1404440681,1404440081,1404438071,,,1404440981,1404440171,1404439631,1404438521,,,1404440261,,,1404439781,1404440381,,1404439901,,,1404438701,,1404437831,,1404438881,1404439211,,,,1404437891,,,,,,,,,,,,,,,,,,,,,,,,
129450_5..N73R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404438761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130450_5..N73R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404438761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131450_5..N73R::1404360000.0,,1404442421,1404442211,1404441881,1404441011,1404440561,1404439031,,,,,,1404442061,1404441491,1404439451,,1404441671,1404441101,1404439121,,,1404441941,1404441161,1404440711,1404439721,,,1404441281,,,1404440801,1404441401,,1404440921,,,1404439871,,1404438851,,1404440051,1404440381,,,,1404438941,,,,,,,,,,,,,,,,,,,,,,,,
132450_5..N73R::1404360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404446021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133450_5..N73R::1404360000.0,,1404443741,1404443561,1404443201,1404442301,1404441821,1404440441,,,,,,1404443411,1404442811,1404440801,,1404442991,1404442391,1404440561,,,1404443291,1404442481,1404442001,1404441041,,,1404442571,,,1404442091,1404442691,,1404442211,,,1404441161,,1404440261,,1404441371,1404441641,,,,1404440351,,,,,,,,,,,,,,,,,,,,,,,,
134450_5..N73R::1404360000.0,,1404444341,1404444191,1404443831,1404442811,1404442361,1404440951,,,,,,1404444041,1404443291,1404441311,,1404443591,1404442901,1404441041,,,1404443861,1404442961,1404442511,1404441551,,,1404443051,,,1404442601,1404443171,,1404442721,,,1404441701,,1404440771,,1404441911,1404442181,,,,1404440831,,,,,,,,,,,,,,,,,,,,,,,,
135450_5..N73R::1404360000.0,,1404444971,1404444701,1404444341,1404443441,1404442841,1404441461,,,,,,1404444551,1404443951,1404441821,,1404444101,1404443531,1404441581,,,1404444431,1404443621,1404443081,1404442061,,,1404443711,,,1404443231,1404443831,,1404443351,,,1404442211,,1404441311,,1404442391,1404442661,,,,1404441401,,,,,,,,,,,,,,,,,,,,,,,,
136450_5..N73R::1404360000.0,,1404445481,1404445271,1404444941,1404444101,1404443681,1404442241,,,,,,1404445151,1404444551,1404442601,,1404444731,1404444191,1404442361,,,1404445031,1404444281,1404443831,1404442841,,,1404444341,,,1404443861,1404444461,,1404444041,,,1404442991,,1404442091,,1404443201,1404443501,,,,1404442151,,,,,,,,,,,,,,,,,,,,,,,,
137600_5..N73R::1404360000.0,,1404446381,1404446081,1404445721,1404444761,1404444251,1404442691,,,,,,1404445961,1404445271,1404443081,,1404445481,1404444821,1404442781,,,1404445811,1404444911,1404444431,1404443351,,,1404445001,,,1404444551,1404445121,,1404444671,,,1404443531,,1404442541,,1404443741,1404444041,,,,1404442601,,,,,,,,,,,,,,,,,,,,,,,,
136600_5..N71R::1404360000.0,,,,,1404446051,1404445601,1404444221,1404443051,1404442961,1404442241,1404442031,,,,1404444551,1404442331,,1404446141,1404444311,,1404442421,,1404446201,1404445751,1404444821,1404443201,1404442511,1404446321,1404442601,,1404445871,1404446381,,1404445991,1404442721,1404442181,1404444971,,1404444071,,1404445151,1404445421,,,,1404444101,,,,,,,,,,,,,,,,,,,,,,,,
138800_5..N73R::1404360000.0,,,,1404446381,1404445571,1404445061,1404443411,,,,,,,1404446081,1404443801,,1404446231,1404445631,1404443501,,,,1404445721,1404445241,1404444071,,,1404445811,,,1404445361,1404445931,,1404445481,,,1404444221,,1404443261,,1404444431,1404444761,,,,1404443321,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32R::1404360000.0,,,,,,,,,,,,,,,,,1404446381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32R::1404360000.0,,,,,,,,,,,,,,,,,1404446381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144300_5..N32R::1404446400.0,,1404447401,1404447281,1404446921,,,,,,,,,1404447161,,,,1404532781,,,,,1404447041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002300_5..N32R::1404446400.0,,1404448661,1404448451,1404448091,,,,,,,,,1404448301,,,,1404447821,,,,,1404448181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138800_5..N73R::1404446400.0,,1404447011,1404446831,1404446441,,,,,,,,,1404446681,,,,,,,,,1404446531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105200_5..N68R::1404446400.0,,,,,,,,,,,,1404460781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136600_5..N71R::1404446400.0,,,,1404447131,,,,,,,,,,1404446561,,,1404447041,,,,,,,,,,,,,,,1404446441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004300_5..N32R::1404446400.0,,,,,,,,,,,,,,,,,1404447731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006000_5..N32R::1404446400.0,,,,,,,,,,,,,,,,,1404449051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
