,239S,234S,640S,501S,416S,217S,250S,502S,418S,218S,235S,621S,219S,503S,419S,220S,420S,626S,504S,221S,423S,505S,222S,213S,629S,631S,214S,635S,215S,216S,236S,237S,238S,241S,242S,243S,244S,245S,246S,247S,225S,226S,227S,120S,123S,127S,128S,132S,137S,228S,229S,230S,231S,232S,204S,205S,206S,207S,208S,209S,210S,211S,212S,233S
115250_5..S07R::1404360000.0,43,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116050_5..S07R::1404360000.0,65,36,,,,,8,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117050_5..S07R::1404360000.0,-4,23,28,,,,9,,21,,8,,,,16,,26,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118150_5..S07R::1404360000.0,,,,2861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119200_5..S08R::1404360000.0,,,13,,19,,,,-24,,,64,,,18,,17,13,,,,,,,1,13,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120450_5..S07R::1404360000.0,21,22,23,,16,27,53,,-22,10,8,29,13,,20,4,28,6,,20,-1,,29,,-2,51,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122650_5..S08R::1404360000.0,,,22,-139,-45,6,,18,28,14,,27,20,7,5,11,7,18,20,16,,20,37,10,11,55,0,39,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123500_5..S08R::1404360000.0,,,-8,-49,5,-8,,12,6,16,,-37,-3,20,0,-11,5,14,8,-4,,24,44,8,12,0,14,12,-7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124800_5..S08R::1404360000.0,,,-3,-139,-8,18,,33,15,24,,13,-13,28,1,3,8,-2,35,6,,62,35,12,-1,20,28,30,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125900_5..S08R::1404360000.0,,,8,-19,-7,21,,-2,21,13,,16,-3,23,7,-6,15,2,26,5,,61,43,12,0,53,12,29,-1,-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126600_5..S08R::1404360000.0,,,7,-49,10,19,,2,12,5,,31,20,22,-3,19,11,-1,21,0,,64,54,15,-4,9,11,44,-6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127600_5..S08R::1404360000.0,,,14,-19,24,36,,24,14,10,,5,-7,17,20,-5,15,35,18,16,,75,50,3,25,12,13,10,-7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128650_5..S08R::1404360000.0,,,-1,-19,25,15,,23,9,-1,,28,7,3,23,-3,-63,8,28,27,,30,48,19,2,5,6,17,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129750_5..S08R::1404360000.0,,,5,41,-17,-6,,-25,9,-8,,11,3,-7,-1,9,8,3,25,3,,0,36,3,16,8,-2,33,-15,-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131050_5..S08R::1404360000.0,,,6,-169,9,3,,13,-26,17,,2,-2,26,16,22,18,6,20,1,,18,37,4,-7,8,18,15,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132200_5..S08R::1404360000.0,,,8,-49,26,21,,34,16,6,,1,15,10,1,3,6,-8,9,15,,10,45,18,16,28,4,24,10,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133300_5..S01R::1404360000.0,,,,-79,,,,30,,,,,,30,,,,,15,,,35,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134600_5..S01R::1404360000.0,,,,-49,,,,15,,,,,,31,,,,,24,,,19,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131850_5..S03R::1404360000.0,,-28,,,,,,,,,,,,,,,191,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131850_5..S::1404360000.0,52,41,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,-14,10,-22,0,6,10,-23,7,17,42,,,,,,,,,,,,,,,,,,,,,,,,
136600_5..S01R::1404360000.0,,,,41,,,,9,,,,,,3,,,,,31,,,0,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138200_5..S01R::1404360000.0,,,,-49,,,,20,,,,,,9,,,,,7,,,9,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140200_5..S01R::1404360000.0,,,,-49,,,,13,,,,,,-24,,,,,5,,,-21,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142200_5..S32R::1404360000.0,,,,161,,,,-8,,,,,,-5,,,,,34,,,1,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404360000.0,,,,-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136200_5..S01R::1404360000.0,,,,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404360000.0,,,,-1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000200_5..S32R::1404446400.0,,,,-139,,,,19,,,,,,5,,,,,28,,,22,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002200_5..S32R::1404446400.0,,,,-1339,,,,22,,,,,,22,,,,,19,,,-7,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004200_5..S32R::1404446400.0,,,,-1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005900_5..S32R::1404446400.0,,,,-889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003900_5..S32R::1404446400.0,,,,191,,,,22,,,,,,19,,,,,25,,,13,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012200_5..S32R::1404446400.0,,,,101,,,,9,,,,,,-22,,,,,15,,,18,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
