,639S,634S,632S,628S,627S,623S,621S,615S,612S,604S,601S,635S,624S,606S,640S,629S,625S,616S,607S,602S,633S,622S,613S,617S,636S,626S,608S,630S,603S,618S,614S,637S,631S,609S,619S,610S,638S,611S
116500_6..S01R::1404360000.0,-4,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
117200_6..S01R::1404360000.0,18,-1,,,,,,,,,,47,,,9,,,,,,,,,,6,,,,,,,34,,,,,5,
117700_6..S01R::1404360000.0,5,-10,3,,,,,,,,,18,,,4,,,,,,-2,,,,-14,,,,,,,1,,,,,14,
118200_6..S01R::1404360000.0,27,1,-10,-3,,,,,,,,45,,,5,46,,,,,11,,,,25,,,18,,,,-4,15,,,,-20,
118700_6..S01R::1404360000.0,22,1,-12,3,4,,,,,,,23,,,18,19,,,,,13,,,,0,,,7,,,,13,25,,,,15,
119200_6..S01R::1404360000.0,-4,13,-12,10,5,17,,,,,,11,1,,-80,15,10,,,,-14,,,,12,0,,12,,,,150,26,,,,1,
119700_6..S01R::1404360000.0,-4,-25,15,11,10,-3,8,,,,,156,13,,20,16,18,,,,10,15,,,18,15,,5,,,,22,11,,,,5,
120300_6..S01R::1404360000.0,16,17,6,18,26,-9,7,16,,,,15,6,,23,17,9,-3,,,1,14,,-5,-9,1,,-34,,13,,3,35,,15,,-7,
120900_6..S01R::1404360000.0,,,,,,,271,15,20,,,,,,,,,-8,,,,378,25,8,,,,,,-5,-8,,,,18,,,
121500_6..S01R::1404360000.0,-5,1,-10,-7,5,13,38,-3,-6,8,,23,19,-10,2,24,17,1,6,,14,-24,-2,-7,-13,7,22,16,,12,5,-36,18,-8,7,-3,7,14
122100_6..S01R::1404360000.0,-11,-11,-18,0,-5,10,-3,4,-5,-12,251,22,-4,3,27,10,1,10,17,5,-35,-8,-6,8,-2,-6,25,12,4,1,4,10,5,18,33,14,-2,4
122700_6..S01R::1404360000.0,,,,17,33,22,29,23,21,13,221,,-4,15,,11,11,-17,16,6,,19,-22,23,,-17,12,29,-7,1,5,,-66,1,53,25,,27
123300_6..S01R::1404360000.0,-7,-6,-11,-8,10,-21,29,-5,2,-9,191,35,4,-26,14,15,-15,-5,-8,12,12,-6,-5,16,3,-2,3,9,14,0,2,14,33,0,12,6,2,-3
123900_6..S01R::1404360000.0,-40,-10,5,20,-14,-9,-22,4,-15,-5,71,18,-24,12,-75,11,-13,11,0,11,1,5,-7,5,7,247,19,8,-12,-5,4,14,21,-7,26,4,-35,1
124500_6..S01R::1404360000.0,-2,2,12,-10,-8,13,42,-24,3,11,191,29,-6,-9,13,25,-2,9,10,-6,8,2,3,3,2,17,-1,13,16,-7,9,15,28,-3,16,6,5,-1
125100_6..S01R::1404360000.0,-5,20,-33,2,3,18,3,-1,15,3,131,-15,0,-13,-1,4,2,5,7,5,-4,3,26,0,12,18,-6,-27,1,19,5,24,9,-2,14,6,4,-3
125700_6..S01R::1404360000.0,12,2,16,-7,-9,13,2,16,-7,11,131,26,-6,-6,21,-9,-1,15,10,17,10,-1,14,3,-9,-10,19,17,12,-3,-8,5,76,-12,26,-3,-10,-9
