stop_id,name,lat,lon
4_N_NULL_STOP,Crown Hts - Utica Av,40.668896999999994,-73.93294200000001
4_N_FINAL_STOP,Woodlawn,40.886037,-73.878751
4_S_NULL_STOP,Woodlawn,40.886037,-73.878751
4_S_FINAL_STOP,Crown Hts - Utica Av,40.668896999999994,-73.93294200000001
5_N_NULL_STOP,Flatbush Av - Brooklyn College,40.632836,-73.947642
5_N_FINAL_STOP,Eastchester - Dyre Av,40.8883,-73.830834
5_S_NULL_STOP,Eastchester - Dyre Av,40.8883,-73.830834
5_S_FINAL_STOP,Flatbush Av - Brooklyn College,40.632836,-73.947642
6_N_NULL_STOP,Brooklyn Bridge - City Hall,40.713065,-74.004131
6_N_FINAL_STOP,Pelham Bay Park,40.852462,-73.828121
6_S_NULL_STOP,Pelham Bay Park,40.852462,-73.828121
6_S_FINAL_STOP,Brooklyn Bridge - City Hall,40.713065,-74.004131
101,Van Cortlandt Park - 242 St,40.889247999999995,-73.898583
101N,Van Cortlandt Park - 242 St,40.889247999999995,-73.898583
101S,Van Cortlandt Park - 242 St,40.889247999999995,-73.898583
103,238 St,40.884667,-73.90087
103N,238 St,40.884667,-73.90087
103S,238 St,40.884667,-73.90087
104,231 St,40.878856,-73.904834
104N,231 St,40.878856,-73.904834
104S,231 St,40.878856,-73.904834
106,Marble Hill - 225 St,40.874561,-73.90983100000001
106N,Marble Hill - 225 St,40.874561,-73.90983100000001
106S,Marble Hill - 225 St,40.874561,-73.90983100000001
107,215 St,40.869444,-73.915279
107N,215 St,40.869444,-73.915279
107S,215 St,40.869444,-73.915279
108,207 St,40.864621,-73.91882199999999
108N,207 St,40.864621,-73.91882199999999
108S,207 St,40.864621,-73.91882199999999
109,Dyckman St,40.860531,-73.925536
109N,Dyckman St,40.860531,-73.925536
109S,Dyckman St,40.860531,-73.925536
110,191 St,40.855225,-73.929412
110N,191 St,40.855225,-73.929412
110S,191 St,40.855225,-73.929412
111,181 St,40.849505,-73.933596
111N,181 St,40.849505,-73.933596
111S,181 St,40.849505,-73.933596
112,168 St - Washington Hts,40.840556,-73.94013299999999
112N,168 St - Washington Hts,40.840556,-73.94013299999999
112S,168 St - Washington Hts,40.840556,-73.94013299999999
113,157 St,40.834041,-73.94489
113N,157 St,40.834041,-73.94489
113S,157 St,40.834041,-73.94489
114,145 St,40.826551,-73.95036
114N,145 St,40.826551,-73.95036
114S,145 St,40.826551,-73.95036
115,137 St - City College,40.822008000000004,-73.953676
115N,137 St - City College,40.822008000000004,-73.953676
115S,137 St - City College,40.822008000000004,-73.953676
116,125 St,40.815581,-73.958372
116N,125 St,40.815581,-73.958372
116S,125 St,40.815581,-73.958372
117,116 St - Columbia University,40.807722,-73.96410999999999
117N,116 St - Columbia University,40.807722,-73.96410999999999
117S,116 St - Columbia University,40.807722,-73.96410999999999
118,Cathedral Pkwy,40.803967,-73.966847
118N,Cathedral Pkwy,40.803967,-73.966847
118S,Cathedral Pkwy,40.803967,-73.966847
119,103 St,40.799446,-73.968379
119N,103 St,40.799446,-73.968379
119S,103 St,40.799446,-73.968379
120,96 St,40.793919,-73.972323
120N,96 St,40.793919,-73.972323
120S,96 St,40.793919,-73.972323
121,86 St,40.788644,-73.976218
121N,86 St,40.788644,-73.976218
121S,86 St,40.788644,-73.976218
122,79 St,40.783934,-73.979917
122N,79 St,40.783934,-73.979917
122S,79 St,40.783934,-73.979917
123,72 St,40.778453000000006,-73.98196999999999
123N,72 St,40.778453000000006,-73.98196999999999
123S,72 St,40.778453000000006,-73.98196999999999
124,66 St - Lincoln Center,40.77344,-73.982209
124N,66 St - Lincoln Center,40.77344,-73.982209
124S,66 St - Lincoln Center,40.77344,-73.982209
125,59 St - Columbus Circle,40.768246999999995,-73.98192900000001
125N,59 St - Columbus Circle,40.768246999999995,-73.98192900000001
125S,59 St - Columbus Circle,40.768246999999995,-73.98192900000001
126,50 St,40.761728000000005,-73.98384899999999
126N,50 St,40.761728000000005,-73.98384899999999
126S,50 St,40.761728000000005,-73.98384899999999
127,Times Sq - 42 St,40.75529,-73.987495
127N,Times Sq - 42 St,40.75529,-73.987495
127S,Times Sq - 42 St,40.75529,-73.987495
128,34 St - Penn Station,40.750372999999996,-73.991057
128N,34 St - Penn Station,40.750372999999996,-73.991057
128S,34 St - Penn Station,40.750372999999996,-73.991057
129,28 St,40.747215000000004,-73.993365
129N,28 St,40.747215000000004,-73.993365
129S,28 St,40.747215000000004,-73.993365
130,23 St,40.744081,-73.995657
130N,23 St,40.744081,-73.995657
130S,23 St,40.744081,-73.995657
131,18 St,40.741040000000005,-73.99787099999999
131N,18 St,40.741040000000005,-73.99787099999999
131S,18 St,40.741040000000005,-73.99787099999999
132,14 St,40.737826,-74.000201
132N,14 St,40.737826,-74.000201
132S,14 St,40.737826,-74.000201
133,Christopher St - Sheridan Sq,40.733422,-74.00290600000001
133N,Christopher St - Sheridan Sq,40.733422,-74.00290600000001
133S,Christopher St - Sheridan Sq,40.733422,-74.00290600000001
134,Houston St,40.728251,-74.005367
134N,Houston St,40.728251,-74.005367
134S,Houston St,40.728251,-74.005367
135,Canal St,40.722854,-74.006277
135N,Canal St,40.722854,-74.006277
135S,Canal St,40.722854,-74.006277
136,Franklin St,40.719318,-74.006886
136N,Franklin St,40.719318,-74.006886
136S,Franklin St,40.719318,-74.006886
137,Chambers St,40.715478000000004,-74.009266
137N,Chambers St,40.715478000000004,-74.009266
137S,Chambers St,40.715478000000004,-74.009266
138,Cortlandt St,40.711835,-74.012188
138N,Cortlandt St,40.711835,-74.012188
138S,Cortlandt St,40.711835,-74.012188
139,Rector St,40.707513,-74.01378299999999
139N,Rector St,40.707513,-74.01378299999999
139S,Rector St,40.707513,-74.01378299999999
140,South Ferry Loop,40.701411,-74.013205
140N,South Ferry Loop,40.701411,-74.013205
140S,South Ferry Loop,40.701411,-74.013205
142,South Ferry,40.702068,-74.013664
142N,South Ferry,40.702068,-74.013664
142S,South Ferry,40.702068,-74.013664
201,Wakefield - 241 St,40.903125,-73.85061999999999
201N,Wakefield - 241 St,40.903125,-73.85061999999999
201S,Wakefield - 241 St,40.903125,-73.85061999999999
204,Nereid Av,40.898379,-73.854376
204N,Nereid Av,40.898379,-73.854376
204S,Nereid Av,40.898379,-73.854376
205,233 St,40.893193,-73.857473
205N,233 St,40.893193,-73.857473
205S,233 St,40.893193,-73.857473
206,225 St,40.888022,-73.860341
206N,225 St,40.888022,-73.860341
206S,225 St,40.888022,-73.860341
207,219 St,40.883895,-73.862633
207N,219 St,40.883895,-73.862633
207S,219 St,40.883895,-73.862633
208,Gun Hill Rd,40.87785,-73.866256
208N,Gun Hill Rd,40.87785,-73.866256
208S,Gun Hill Rd,40.87785,-73.866256
209,Burke Av,40.871356,-73.867164
209N,Burke Av,40.871356,-73.867164
209S,Burke Av,40.871356,-73.867164
210,Allerton Av,40.865462,-73.867352
210N,Allerton Av,40.865462,-73.867352
210S,Allerton Av,40.865462,-73.867352
211,Pelham Pkwy,40.857192,-73.867615
211N,Pelham Pkwy,40.857192,-73.867615
211S,Pelham Pkwy,40.857192,-73.867615
212,Bronx Park East,40.848828000000005,-73.86845699999999
212N,Bronx Park East,40.848828000000005,-73.86845699999999
212S,Bronx Park East,40.848828000000005,-73.86845699999999
213,E 180 St,40.841894,-73.873488
213N,E 180 St,40.841894,-73.873488
213S,E 180 St,40.841894,-73.873488
214,West Farms Sq - E Tremont Av,40.840295000000005,-73.880049
214N,West Farms Sq - E Tremont Av,40.840295000000005,-73.880049
214S,West Farms Sq - E Tremont Av,40.840295000000005,-73.880049
215,174 St,40.837288,-73.887734
215N,174 St,40.837288,-73.887734
215S,174 St,40.837288,-73.887734
216,Freeman St,40.829993,-73.891865
216N,Freeman St,40.829993,-73.891865
216S,Freeman St,40.829993,-73.891865
217,Simpson St,40.824073,-73.893064
217N,Simpson St,40.824073,-73.893064
217S,Simpson St,40.824073,-73.893064
218,Intervale Av,40.822181,-73.896736
218N,Intervale Av,40.822181,-73.896736
218S,Intervale Av,40.822181,-73.896736
219,Prospect Av,40.819585,-73.90177
219N,Prospect Av,40.819585,-73.90177
219S,Prospect Av,40.819585,-73.90177
220,Jackson Av,40.81649,-73.90780699999999
220N,Jackson Av,40.81649,-73.90780699999999
220S,Jackson Av,40.81649,-73.90780699999999
221,3 Av - 149 St,40.816109000000004,-73.917757
221N,3 Av - 149 St,40.816109000000004,-73.917757
221S,3 Av - 149 St,40.816109000000004,-73.917757
222,149 St - Grand Concourse,40.81841,-73.92671800000001
222N,149 St - Grand Concourse,40.81841,-73.92671800000001
222S,149 St - Grand Concourse,40.81841,-73.92671800000001
224,135 St,40.814229,-73.94077
224N,135 St,40.814229,-73.94077
224S,135 St,40.814229,-73.94077
225,125 St,40.807753999999996,-73.945495
225N,125 St,40.807753999999996,-73.945495
225S,125 St,40.807753999999996,-73.945495
226,116 St,40.802098,-73.949625
226N,116 St,40.802098,-73.949625
226S,116 St,40.802098,-73.949625
